Principle Name,Statement,Rationale,Implications,,
Address Privacy&Security,Address Privacy & Security,"Information is power, as the old adage goes, and this is certainly true in the context of technology-enabled global development interventions. How information is collected, stored, analysed, shared, and used has serious implications for both the populations about whom data are being transmitted, and the organizations transmitting the data. This principle: Address Privacy &amp; Security provides a framework for considering how to protect user privacy and the security of data, devices, and tools.","
	Assess and mitigate risks to the security of users and their data.
	Consider the context and needs for privacy of personally identifiable information when designing solutions and mitigate accordingly.
	Ensure equity and fairness in co-creation, and protect the best interests of the end end-users.
",,
Always consider the users,Always consider the users,"The security stance of a software system is inextricably linked to what its users do with it. It is therefore very important that all security-related mechanisms are designed in a manner that makes it easy to deploy, configure, use, and update the system securely. Remember, security is not a feature that can simply be added to a software  system, but rather a property emerging from how the system was built and is operated.

The way each user interacts with software is dictated not only by the design and implementation decisions of its creators but also by the cognitive abilities and cultural background of its users.","Failing to address this design principle can lead to a various problems, e.g.:

	When designers don’t “remember the user” in their software design, inadvertent disclosures by the user may take  place. If it is difficult to understand the authorization model, or difficult to understand the configuration for visibility  of data, then the user’s data are likely to be unintentionally disclosed.
	Designers sometimes fail to account for the fact that authenticated and properly authorized users can also be attackers! This design error is a failure to distrust the user, resulting in authorized users having opportunities to misuse the system.
	When security is too hard to set up for a large population of the system’s users, it will never be configured, or it will not be configured properly.
",,
Asset protection and resilience,Asset protection and resilience,"Consumer data, and the assets storing or processing it, should be protected against physical tampering, loss, damage or seizure.","If this principle is not implemented, inappropriately protected consumer data could be compromised which may result in legal and regulatory sanction, or reputational damage.",,
Assume that external systems are insecure,Assume that external systems are insecure,"The term information domain arises from the practice of partitioning information resources according to access control, need, and levels of protection required. Organizations implement specific measures to enforce this partitioning and to provide for the deliberate flow of authorized information between information domains. The boundary of an information domain represents the security perimeter for that domain.

An external domain is one that is not under your control. In general, external systems should be considered insecure.",,,
Audit information provision to consumers,Audit information provision to consumers,"Consumers should be provided with the audit records they need to monitor access to their service and the data held within it. 
If this principle is not implemented, consumers will not be able to detect and respond to inappropriate or malicious use of their service or data within reasonable timescales.",,,
Authenticate users and processes to ensure appropriate access control decisions both within and across domains,Authenticate users and processes to ensure appropriate access control decisions both within and across domains,"Authentication is the process where a system establishes the validity of a transmission, message, or a means of verifying the eligibility of an individual, process, or machine to carry out a desired action, thereby ensuring that security is not compromised by an untrusted source. It is essential that adequate authentication be achieved in order to implement security policies and achieve security goals.",,,
Authorize after you authenticate,Authorize after you authenticate.,"Authorization should be conducted as an explicit check, and as necessary even after an initial authentication has been completed. Authorization depends not only on the privileges associated with an authenticated user, but also on the context of the request. The time of the request and the location of the requesting user may both need to be taken into account.","For particularly sensitive operations, authorization may need to invoke authentication.

Although authorization begins only after authentication has occurred, this requirement is not circular. Authentication is not binary—users may be required to present minimal (such as a password) or more substantial (e.g. biometric or token-based) evidence of their identity, and authentication in most systems is not continuous—a user may authenticate, but walk away from the device or hand it to someone else.",,
Avoid security by obscurity,Security measurements should be open and transparent.,"Assume attackers will have source code (also for closed source software).
Assume attackers will have complete design and network topologies.
Open security design promote cycle of improvement faster.",Security should always be tested by experts (open or not),,
"Check the return value of all non-void functions, and check the validity of all function parameters","Check the return value of all non-void functions, and check the validity of all function parameters.

The return value of non-void functions must be checked by each calling function, and the validity of parameters must be checked inside each function.","This is possibly the most frequently violated principle.In the strictest interpretation, this rule means that even the return value of printf statements and file close statements must be checked.
A case can be made, though, that if the response to an error would rightfully be no different than the response to success, there is no point in checking a return value. This is often the case with calls to printf and close. In cases like these, it can be acceptable to explicitly cast the function return value to (void) -- thereby indicating that the programmer explicitly and not accidentally decides to ignore a return value. The rule is then only violated if the cast is missing.
In more dubious cases, a comment should be present to explain why a return value is irrelevant.

In most cases, though, the return value of a function should not be ignored, especially if error return values must be propagated up the function call chain. Standard libraries famously violate this rule with potentially grave consequences. See, for instance, what happens if you accidentally execute

strlen(0)

, or

strcat(s1, s2, -1)

with the standard C string library. For this reason, most coding guidelines for safety critical software also forbid the use of all ansi standard headers like string.h, stdlib.h, stdio.h etc. If the function are needed, they should be written separately, and made compliant with safety critical use.

The enforcement of this principle make sure that exceptions are always explicitly justified (and justifiable), with mechanical checkers flagging violations.  Often, it will be easier to comply with the rule than to explain why non-compliance is acceptable.",Extra testing and programming effort:Function parameters should normal be verified for validity before being used. This rule especially applies to pointers: before dereferencing a pointer that is passed as a parameter the pointer must be checked for null.,,
Clearly delineate the physical and logical security boundaries governed by associated security policies.,Clearly delineate the physical and logical security boundaries governed by associated security policies.,"Information technology exists in physical and logical locations, and boundaries exist between these locations. An understanding of what is to be protected from external factors can help ensure adequate protective measures are applied where they will be most effective. Sometimes a boundary is defined by people, information, and information technology associated with one physical location.",,,
Compartmentalise,Sub-systems will be partitioned logically and isolated using physical devices and/or security controls,"In accordance with the Minimise Attack Surface and Defence in Depth principles, the Compartmentalise principle keeps a sub-system, or logically grouped set of sub-systems, relatively self-contained such that compromise of one will not imply the compromise of another.",,,
Compile with all warnings enabled,"Compile with all warnings enabled, in pedantic mode, and use one or more modern static source code analyzers.

All code must be compiled, from the first day of development, with all compiler warnings enabled at the compiler's most pedantic setting. All code must compile with these setting without warnings. All code must be checked on each build with at least one, but preferably more than one, state-of-the-art static source code analyzer and should pass the analyses with zero warnings.","There are several very effective static source code analyzers on the market today, and quite a few freeware tools as well. There is no excuse for any serious software development effort not to make use of this technology. It should be considered routine practice, especially for critical software development. The rule of zero warnings applies even in cases where the compiler or the static analyzer gives an erroneous warning: if the compiler or the static analyzer gets confused, the code causing the confusion should be rewritten so that it becomes more trivially valid. Many have been caught in the assumption that a warning was likely invalid, only to realize much later that the report was in fact valid for less obvious reasons.
Static analyzers originally had a bad reputation due to the limited capabilities of early versions (e.g., the early Unix tool lint). The early tools produced mostly invalid messages, but this is not the case for the current generation of commercial tools. The best static analyzers today are fast, and they produce selective and accurate messages.","Provide awareness trainings of developers continuously.

&nbsp;",,
Complete mediation,Complete mediation,"Access rights are completely validated every time an access occurs. Systems should rely as little as possible on access decisions retrieved from a cache. Again, file permissions tend to reflect this model: the operating system checks the user requesting access against the file’s ACL. The technique is less evident when applied to email, which must pass through separately applied packet filters, virus filters, and spam detectors.",,,
Computer Security is Constrained by Societal Factors,Computer Security is Constrained by Societal Factors,"The ability of security to support the mission of an organization may be limited by various factors, such as social issues. For example, security and workplace privacy can conflict. 
Commonly, security is implemented on an IT system by identifying users and tracking their actions. However, expectations of privacy vary and can be violated by some security measures. 
(In some cases, privacy may be mandated by law.)",,,
Computer Security Requires a Comprehensive and Integrated Approach,Computer Security Requires a Comprehensive and Integrated Approach,"Providing effective computer security requires a comprehensive approach that considers a variety of areas both within and outside of the computer security field. This comprehensive approach extends throughout the entire information life cycle.
To work effectively, security controls often depend upon the proper functioning of other controls. Many such interdependencies exist. If appropriately chosen, managerial, operational,and technical controls can work together synergistically.","The effectiveness of security controls (also) depends on such factors as system management, legal issues, quality assurance, and internal and management controls. Computer security needs to work with traditional security disciplines including physical and personnel security.",,
Computer Security Responsibilities and Accountability Should Be Made Explicit,Computer Security Responsibilities and Accountability Should Be Made Explicit,"The responsibility and accountability3 of owners, providers, and users of IT systems and other parties4 concerned with the security of IT systems should be explicit.5 The assignment of responsibilities may be internal to an organization or may extend across organizational boundaries.","Depending on the size of the organization, the computer security program may be large or small, even a collateral duty of another management official. However, even small organizations can prepare a document that states organization policy and makes explicit computer security responsibilities.",,
Computer Security Should Be Cost-Effective,Computer Security Should Be Cost-Effective,"The costs and benefits of security should be carefully examined in both monetary and nonmonetary terms to ensure that the cost of controls does not exceed expected benefits. Security should be appropriate and proportionate to the value of and degree of reliance on the IT systems and to the severity, probability, and extent of potential harm. Requirements for security vary, depending upon the particular IT system.",,,
Computer Security Should Be Periodically Reassessed,Computer Security Should Be Periodically Reassessed,"Computers and the environments in which they operate are dynamic. System technology and users, data and information in the systems, risks associated with the system, and security requirements are ever-changing. Many types of changes affect system security: technological developments (whether adopted by the system owner or available for use by others); connection to external networks; a change in the value or use of information; or the emergence of a new threat. In addition, security is never perfect when a system is implemented.",,,
Computer Security Supports the Mission of the Organization,Computer Security Supports the Mission of the Organization,"The purpose of computer security is to protect an organization's valuable resources, such as information, hardware, and software. Through the selection and application of appropriate safeguards, security helps the organization's mission by protecting its physical and financial resources, reputation, legal position, employees, and other tangible and intangible assets.",,,
Data in transit protection,Data in transit protection,Consumer data transiting networks should be adequately protected against tampering and eavesdropping via a combination of network protection and encryption.,"If this principle is not implemented, then the integrity or confidentiality of the data may be compromised whilst in transit.",,
Data is always protected,"Data is protected from unauthorized use and disclosure. In addition to the traditional aspects of data classification, this includes, but is not limited to, protection of per-decisional, sensitive, source selection-sensitive, and proprietary information.","Open sharing of information and the release of information via relevant legislation must be balanced against the need to restrict the availability of classified, proprietary, and sensitive information.

Existing laws and regulations require the safeguarding of security and the privacy of data, while permitting free and open access.","Aggregation of data, both classified and not, will create a large target requiring review and de-classification procedures to maintain appropriate control. 

Access to information based on a need-to-know policy will force regular reviews of the body of information.

Security needs must be identified and developed at the data level, not the application level.

Data security safeguards can be put in place to restrict access to view only""","or ""never see"".",
,,,,,
Sensitivity labeling of data for access to pre-decisional,decisional,classified,sensitive,or proprietary information must be determined.,
,,,,,
Security must be designed into data elements from the beginning; it cannot be added later.,,,,,
,,,,,
Systems,data,and technologies must be protected from unauthorized access and manipulation. Headquarters information must be safeguarded against inadvertent or unauthorized alteration,sabotage,disaster,"or disclosure."""
Declare data objects at the smallest possible level of scope,Declare data objects at the smallest possible level of scope.,"Basic principle of data-hiding. Clearly if an object is not in scope, its value cannot be referenced or corrupted. Similarly, if an erroneous value of an object has to be diagnosed, the fewer the number of statements where the value could have been assigned; the easier it is to diagnose the problem. The rule discourages the re-use of variables for multiple, incompatible purposes, which can complicate fault diagnosis.","Data should always be declared at the start of the scope in which it is used: for file scope, the declarations go at the top of the source file (never in a header file); for function scope, the declaration goes at the top of the function body; for block scope, at the start of the block. This means that declarations should not be placed at random places in the code, e.g., that the point of first use.
Data objects only used in one file should be declared file static.",,
Defense in depth,Defense in depth should be a key architecture and design principle.,Multi-layered security controls and practices are better than single defense layer.,"Do not trust on security measurements from preceding functions.
Prepare for the worst possible scenario.
Implement multiple defense mechanism",,
Design and implement audit mechanisms,Design and implement audit mechanisms to detect unauthorized use and to support incident investigations,"Organizations should monitor, record, and periodically review audit logs to identify unauthorized use and to ensure system resources are functioning properly. In some cases, organizations may be required to disclose information obtained through auditing mechanisms to appropriate third parties.",,,
Design and operate an IT system to limit damage and to be resilient in response.,Design and operate an IT system to limit damage and to be resilient in response.,"Information systems should be resistant to attack, should limit damage, and should recover rapidly when attacks do occur. The principle suggested here recognizes the need for adequate protection technologies at all levels to ensure that any potential cyber attack will be countered effectively.",,,
Design for secure updates,Design for secure updates,It is easier to upgrade small pieces of a system than huge blobs. Doing so ensures that the security implications of the upgrade are well understood and controlled.,"Verify the integrity and provenance of upgrade packages; make use of code signing and signed manifests to ensure that the system only consumes patches and updates of trusted origin.

&nbsp;",,
